time_input,IPTG_pre,aTc_pre,Var4,Var5
0,0,0,0.05,50
1,0,0,0.05,50
2,0,0,0.05,50
3,0,0,0.05,50
4,0,0,0.05,50
5,0,0,0.05,50
6,0,0,0.05,50
7,0,0,0.05,50
8,0,0,0.05,50
9,0,0,0.05,50
10,0,0,0.05,50
11,0,0,0.05,50
12,0,0,0.05,50
13,0,0,0.05,50
14,0,0,0.05,50
15,0,0,0.05,50
16,0,0,0.05,50
17,0,0,0.05,50
18,0,0,0.05,50
19,0,0,0.05,50
20,0,0,0.05,50
21,0,0,0.05,50
22,0,0,0.05,50
23,0,0,0.05,50
24,0,0,0.05,50
25,0,0,0.05,50
26,0,0,0.05,50
27,0,0,0.05,50
28,0,0,0.05,50
29,0,0,0.05,50
30,0,0,0.05,50
31,0,0,0.05,50
32,0,0,0.05,50
33,0,0,0.05,50
34,0,0,0.05,50
35,0,0,0.05,50
36,0,0,0.05,50
37,0,0,0.05,50
38,0,0,0.05,50
39,0,0,0.05,50
40,0,0,0.05,50
41,0,0,0.05,50
42,0,0,0.05,50
43,0,0,0.05,50
44,0,0,0.05,50
45,0,0,0.05,50
46,0,0,0.05,50
47,0,0,0.05,50
48,0,0,0.05,50
49,0,0,0.05,50
50,0,0,0.05,50
51,0,0,0.05,50
52,0,0,0.05,50
53,0,0,0.05,50
54,0,0,0.05,50
55,0,0,0.05,50
56,0,0,0.05,50
57,0,0,0.05,50
58,0,0,0.05,50
59,0,0,0.05,50
60,0,0,0.05,50
61,0,0,0.05,50
62,0,0,0.05,50
63,0,0,0.05,50
64,0,0,0.05,50
65,0,0,0.05,50
66,0,0,0.05,50
67,0,0,0.05,50
68,0,0,0.05,50
69,0,0,0.05,50
70,0,0,0.05,50
71,0,0,0.05,50
72,0,0,0.05,50
73,0,0,0.05,50
74,0,0,0.05,50
75,0,0,0.05,50
76,0,0,0.05,50
77,0,0,0.05,50
78,0,0,0.05,50
79,0,0,0.05,50
80,0,0,0.05,50
81,0,0,0.05,50
82,0,0,0.05,50
83,0,0,0.05,50
84,0,0,0.05,50
85,0,0,0.05,50
86,0,0,0.05,50
87,0,0,0.05,50
88,0,0,0.05,50
89,0,0,0.05,50
90,0,0,0.05,50
91,0,0,0.05,50
92,0,0,0.05,50
93,0,0,0.05,50
94,0,0,0.05,50
95,0,0,0.05,50
96,0,0,0.05,50
97,0,0,0.05,50
98,0,0,0.05,50
99,0,0,0.05,50
100,0,0,0.05,50
101,0,0,0.05,50
102,0,0,0.05,50
103,0,0,0.05,50
104,0,0,0.05,50
105,0,0,0.05,50
106,0,0,0.05,50
107,0,0,0.05,50
108,0,0,0.05,50
109,0,0,0.05,50
110,0,0,0.05,50
111,0,0,0.05,50
112,0,0,0.05,50
113,0,0,0.05,50
114,0,0,0.05,50
115,0,0,0.05,50
116,0,0,0.05,50
117,0,0,0.05,50
118,0,0,0.05,50
119,0,0,0.05,50
120,0,0,0.05,50
121,0,0,0.05,50
122,0,0,0.05,50
123,0,0,0.05,50
124,0,0,0.05,50
125,0,0,0.05,50
126,0,0,0.05,50
127,0,0,0.05,50
128,0,0,0.05,50
129,0,0,0.05,50
130,0,0,0.05,50
131,0,0,0.05,50
132,0,0,0.05,50
133,0,0,0.05,50
134,0,0,0.05,50
135,0,0,0.05,50
136,0,0,0.05,50
137,0,0,0.05,50
138,0,0,0.05,50
139,0,0,0.05,50
140,0,0,0.05,50
141,0,0,0.05,50
142,0,0,0.05,50
143,0,0,0.05,50
144,0,0,0.05,50
145,0,0,0.05,50
146,0,0,0.05,50
147,0,0,0.05,50
148,0,0,0.05,50
149,0,0,0.05,50
150,0,0,0.05,50
151,0,0,0.05,50
152,0,0,0.05,50
153,0,0,0.05,50
154,0,0,0.05,50
155,0,0,0.05,50
156,0,0,0.05,50
157,0,0,0.05,50
158,0,0,0.05,50
159,0,0,0.05,50
160,0,0,0.05,50
161,0,0,0.05,50
162,0,0,0.05,50
163,0,0,0.05,50
164,0,0,0.05,50
165,0,0,0.05,50
166,0,0,0.05,50
167,0,0,0.05,50
168,0,0,0.05,50
169,0,0,0.05,50
170,0,0,0.05,50
171,0,0,0.05,50
172,0,0,0.05,50
173,0,0,0.05,50
174,0,0,0.05,50
175,0,0,0.05,50
176,0,0,0.05,50
177,0,0,0.05,50
178,0,0,0.05,50
179,0,0,0.05,50
180,0,0,0.05,50
181,0,0,0.05,50
182,0,0,0.05,50
183,0,0,0.05,50
184,0,0,0.05,50
185,0,0,0.05,50
186,0,0,0.05,50
187,0,0,0.05,50
188,0,0,0.05,50
189,0,0,0.05,50
190,0,0,0.05,50
191,0,0,0.05,50
192,0,0,0.05,50
193,0,0,0.05,50
194,0,0,0.05,50
195,0,0,0.05,50
196,0,0,0.05,50
197,0,0,0.05,50
198,0,0,0.05,50
199,0,0,0.05,50
200,0,0,0.05,50
201,0,0,0.05,50
202,0,0,0.05,50
203,0,0,0.05,50
204,0,0,0.05,50
205,0,0,0.05,50
206,0,0,0.05,50
207,0,0,0.05,50
208,0,0,0.05,50
209,0,0,0.05,50
210,0,0,0.05,50
211,0,0,0.05,50
212,0,0,0.05,50
213,0,0,0.05,50
214,0,0,0.05,50
215,0,0,0.05,50
216,0,0,0.05,50
217,0,0,0.05,50
218,0,0,0.05,50
219,0,0,0.05,50
220,0,0,0.05,50
221,0,0,0.05,50
222,0,0,0.05,50
223,0,0,0.05,50
224,0,0,0.05,50
225,0,0,0.05,50
226,0,0,0.05,50
227,0,0,0.05,50
228,0,0,0.05,50
229,0,0,0.05,50
230,0,0,0.05,50
231,0,0,0.05,50
232,0,0,0.05,50
233,0,0,0.05,50
234,0,0,0.05,50
235,0,0,0.05,50
236,0,0,0.05,50
237,0,0,0.05,50
238,0,0,0.05,50
239,0,0,0.05,50
240,0,0,0.05,50
241,0,0,0.05,50
242,0,0,0.05,50
243,0,0,0.05,50
244,0,0,0.05,50
245,0,0,0.05,50
246,0,0,0.05,50
247,0,0,0.05,50
248,0,0,0.05,50
249,0,0,0.05,50
250,0,0,0.05,50
251,0,0,0.05,50
252,0,0,0.05,50
253,0,0,0.05,50
254,0,0,0.05,50
255,0,0,0.05,50
256,0,0,0.05,50
257,0,0,0.05,50
258,0,0,0.05,50
259,0,0,0.05,50
260,0,0,0.05,50
261,0,0,0.05,50
262,0,0,0.05,50
263,0,0,0.05,50
264,0,0,0.05,50
265,0,0,0.05,50
266,0,0,0.05,50
267,0,0,0.05,50
268,0,0,0.05,50
269,0,0,0.05,50
270,0,0,0.05,50
271,0,0,0.05,50
272,0,0,0.05,50
273,0,0,0.05,50
274,0,0,0.05,50
275,0,0,0.05,50
276,0,0,0.05,50
277,0,0,0.05,50
278,0,0,0.05,50
279,0,0,0.05,50
280,0,0,0.05,50
281,0,0,0.05,50
282,0,0,0.05,50
283,0,0,0.05,50
284,0,0,0.05,50
285,0,0,0.05,50
286,0,0,0.05,50
287,0,0,0.05,50
288,0,0,0.05,50
289,0,0,0.05,50
290,0,0,0.05,50
291,0,0,0.05,50
292,0,0,0.05,50
293,0,0,0.05,50
294,0,0,0.05,50
295,0,0,0.05,50
296,0,0,0.05,50
297,0,0,0.05,50
298,0,0,0.05,50
299,0,0,0.05,50
300,0,0,0.05,50
301,0,0,0.05,50
302,0,0,0.05,50
303,0,0,0.05,50
304,0,0,0.05,50
305,0,0,0.05,50
306,0,0,0.05,50
307,0,0,0.05,50
308,0,0,0.05,50
309,0,0,0.05,50
310,0,0,0.05,50
311,0,0,0.05,50
312,0,0,0.05,50
313,0,0,0.05,50
314,0,0,0.05,50
315,0,0,0.05,50
316,0,0,0.05,50
317,0,0,0.05,50
318,0,0,0.05,50
319,0,0,0.05,50
320,0,0,0.05,50
321,0,0,0.05,50
322,0,0,0.05,50
323,0,0,0.05,50
324,0,0,0.05,50
325,0,0,0.05,50
326,0,0,0.05,50
327,0,0,0.05,50
328,0,0,0.05,50
329,0,0,0.05,50
330,0,0,0.05,50
331,0,0,0.05,50
332,0,0,0.05,50
333,0,0,0.05,50
334,0,0,0.05,50
335,0,0,0.05,50
336,0,0,0.05,50
337,0,0,0.05,50
338,0,0,0.05,50
339,0,0,0.05,50
340,0,0,0.05,50
341,0,0,0.05,50
342,0,0,0.05,50
343,0,0,0.05,50
344,0,0,0.05,50
345,0,0,0.05,50
346,0,0,0.05,50
347,0,0,0.05,50
348,0,0,0.05,50
349,0,0,0.05,50
350,0,0,0.05,50
351,0,0,0.05,50
352,0,0,0.05,50
353,0,0,0.05,50
354,0,0,0.05,50
355,0,0,0.05,50
356,0,0,0.05,50
357,0,0,0.05,50
358,0,0,0.05,50
359,0,0,0.05,50
360,0,0,0.05,50
361,0,0,0.05,50
362,0,0,0.05,50
363,0,0,0.05,50
364,0,0,0.05,50
365,0,0,0.05,50
366,0,0,0.05,50
367,0,0,0.05,50
368,0,0,0.05,50
369,0,0,0.05,50
370,0,0,0.05,50
371,0,0,0.05,50
372,0,0,0.05,50
373,0,0,0.05,50
374,0,0,0.05,50
375,0,0,0.05,50
376,0,0,0.05,50
377,0,0,0.05,50
378,0,0,0.05,50
379,0,0,0.05,50
380,0,0,0.05,50
381,0,0,0.05,50
382,0,0,0.05,50
383,0,0,0.05,50
384,0,0,0.05,50
385,0,0,0.05,50
386,0,0,0.05,50
387,0,0,0.05,50
388,0,0,0.05,50
389,0,0,0.05,50
390,0,0,0.05,50
391,0,0,0.05,50
392,0,0,0.05,50
393,0,0,0.05,50
394,0,0,0.05,50
395,0,0,0.05,50
396,0,0,0.05,50
397,0,0,0.05,50
398,0,0,0.05,50
399,0,0,0.05,50
400,0,0,0.05,50
401,0,0,0.05,50
402,0,0,0.05,50
403,0,0,0.05,50
404,0,0,0.05,50
405,0,0,0.05,50
406,0,0,0.05,50
407,0,0,0.05,50
408,0,0,0.05,50
409,0,0,0.05,50
410,0,0,0.05,50
411,0,0,0.05,50
412,0,0,0.05,50
413,0,0,0.05,50
414,0,0,0.05,50
415,0,0,0.05,50
416,0,0,0.05,50
417,0,0,0.05,50
418,0,0,0.05,50
419,0,0,0.05,50
420,0,0,0.05,50
421,0,0,0.05,50
422,0,0,0.05,50
423,0,0,0.05,50
424,0,0,0.05,50
425,0,0,0.05,50
426,0,0,0.05,50
427,0,0,0.05,50
428,0,0,0.05,50
429,0,0,0.05,50
430,0,0,0.05,50
431,0,0,0.05,50
432,0,0,0.05,50
433,0,0,0.05,50
434,0,0,0.05,50
435,0,0,0.05,50
436,0,0,0.05,50
437,0,0,0.05,50
438,0,0,0.05,50
439,0,0,0.05,50
440,0,0,0.05,50
441,0,0,0.05,50
442,0,0,0.05,50
443,0,0,0.05,50
444,0,0,0.05,50
445,0,0,0.05,50
446,0,0,0.05,50
447,0,0,0.05,50
448,0,0,0.05,50
449,0,0,0.05,50
450,0,0,0.05,50
451,0,0,0.05,50
452,0,0,0.05,50
453,0,0,0.05,50
454,0,0,0.05,50
455,0,0,0.05,50
456,0,0,0.05,50
457,0,0,0.05,50
458,0,0,0.05,50
459,0,0,0.05,50
460,0,0,0.05,50
461,0,0,0.05,50
462,0,0,0.05,50
463,0,0,0.05,50
464,0,0,0.05,50
465,0,0,0.05,50
466,0,0,0.05,50
467,0,0,0.05,50
468,0,0,0.05,50
469,0,0,0.05,50
470,0,0,0.05,50
471,0,0,0.05,50
472,0,0,0.05,50
473,0,0,0.05,50
474,0,0,0.05,50
475,0,0,0.05,50
476,0,0,0.05,50
477,0,0,0.05,50
478,0,0,0.05,50
479,0,0,0.05,50
480,0,0,0.05,50
481,0,0,0.05,50
482,0,0,0.05,50
483,0,0,0.05,50
484,0,0,0.05,50
485,0,0,0.05,50
486,0,0,0.05,50
487,0,0,0.05,50
488,0,0,0.05,50
489,0,0,0.05,50
490,0,0,0.05,50
491,0,0,0.05,50
492,0,0,0.05,50
493,0,0,0.05,50
494,0,0,0.05,50
495,0,0,0.05,50
496,0,0,0.05,50
497,0,0,0.05,50
498,0,0,0.05,50
499,0,0,0.05,50
500,0,0,0.05,50
501,0,0,0.05,50
502,0,0,0.05,50
503,0,0,0.05,50
504,0,0,0.05,50
505,0,0,0.05,50
506,0,0,0.05,50
507,0,0,0.05,50
508,0,0,0.05,50
509,0,0,0.05,50
510,0,0,0.05,50
511,0,0,0.05,50
512,0,0,0.05,50
513,0,0,0.05,50
514,0,0,0.05,50
515,0,0,0.05,50
516,0,0,0.05,50
517,0,0,0.05,50
518,0,0,0.05,50
519,0,0,0.05,50
520,0,0,0.05,50
521,0,0,0.05,50
522,0,0,0.05,50
523,0,0,0.05,50
524,0,0,0.05,50
525,0,0,0.05,50
526,0,0,0.05,50
527,0,0,0.05,50
528,0,0,0.05,50
529,0,0,0.05,50
530,0,0,0.05,50
531,0,0,0.05,50
532,0,0,0.05,50
533,0,0,0.05,50
534,0,0,0.05,50
535,0,0,0.05,50
536,0,0,0.05,50
537,0,0,0.05,50
538,0,0,0.05,50
539,0,0,0.05,50
540,0,0,0.05,50
541,0,0,0.5,4
542,0,0,0.5,4
543,0,0,0.5,4
544,0,0,0.5,4
545,0,0,0.5,4
546,0,0,0.5,4
547,0,0,0.5,4
548,0,0,0.5,4
549,0,0,0.5,4
550,0,0,0.5,4
551,0,0,0.5,4
552,0,0,0.5,4
553,0,0,0.5,4
554,0,0,0.5,4
555,0,0,0.5,4
556,0,0,0.5,4
557,0,0,0.5,4
558,0,0,0.5,4
559,0,0,0.5,4
560,0,0,0.5,4
561,0,0,0.5,4
562,0,0,0.5,4
563,0,0,0.5,4
564,0,0,0.5,4
565,0,0,0.5,4
566,0,0,0.5,4
567,0,0,0.5,4
568,0,0,0.5,4
569,0,0,0.5,4
570,0,0,0.5,4
571,0,0,0.5,4
572,0,0,0.5,4
573,0,0,0.5,4
574,0,0,0.5,4
575,0,0,0.5,4
576,0,0,0.5,4
577,0,0,0.5,4
578,0,0,0.5,4
579,0,0,0.5,4
580,0,0,0.5,4
581,0,0,0.5,4
582,0,0,0.5,4
583,0,0,0.5,4
584,0,0,0.5,4
585,0,0,0.5,4
586,0,0,0.5,4
587,0,0,0.5,4
588,0,0,0.5,4
589,0,0,0.5,4
590,0,0,0.5,4
591,0,0,0.5,4
592,0,0,0.5,4
593,0,0,0.5,4
594,0,0,0.5,4
595,0,0,0.5,4
596,0,0,0.5,4
597,0,0,0.5,4
598,0,0,0.5,4
599,0,0,0.5,4
600,0,0,0.5,4
601,0,0,0.5,4
602,0,0,0.5,4
603,0,0,0.5,4
604,0,0,0.5,4
605,0,0,0.5,4
606,0,0,0.5,4
607,0,0,0.5,4
608,0,0,0.5,4
609,0,0,0.5,4
610,0,0,0.5,4
611,0,0,0.5,4
612,0,0,0.5,4
613,0,0,0.5,4
614,0,0,0.5,4
615,0,0,0.5,4
616,0,0,0.5,4
617,0,0,0.5,4
618,0,0,0.5,4
619,0,0,0.5,4
620,0,0,0.5,4
621,0,0,0.5,4
622,0,0,0.5,4
623,0,0,0.5,4
624,0,0,0.5,4
625,0,0,0.5,4
626,0,0,0.5,4
627,0,0,0.5,4
628,0,0,0.5,4
629,0,0,0.5,4
630,0,0,0.5,4
631,0,0,0.5,4
632,0,0,0.5,4
633,0,0,0.5,4
634,0,0,0.5,4
635,0,0,0.5,4
636,0,0,0.5,4
637,0,0,0.5,4
